name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
EXPLOIT_VULN,2832.4609194849445,2859.1744110852733,26.71349160032878,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,2,81,1,"['Odessa', 'Maurene', 'Megen', 'Isadora', 'Lorna']",None,None
SCAN_NEIGHBOR,2859.1744110852733,2869.1744110852733,10.0,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,None,None,2,106,2,[],None,None
ENUM_HOST,2869.1744110852733,2884.1744110852733,15.0,54,5d1e6755-7608-4d68-b9b1-1bdce101d682,None,None,2,106,2,[],None,None
SCAN_PORT,2884.1744110852733,2904.1744110852733,20.0,107,c8965658-2999-4873-b7af-f8f2d499fba8,None,None,1,106,2,[],None,None
EXPLOIT_VULN,2904.1744110852733,2904.7234986011854,0.549087515912106,107,c8965658-2999-4873-b7af-f8f2d499fba8,None,None,1,106,2,[],application,OSDiversity
SCAN_PORT,2906.7234986011854,2926.7234986011854,20.0,107,c8965658-2999-4873-b7af-f8f2d499fba8,None,None,1,106,2,[],None,None
EXPLOIT_VULN,2926.7234986011854,2948.560805690358,21.837307089172555,107,c8965658-2999-4873-b7af-f8f2d499fba8,None,None,1,106,2,[],network,CompleteTopologyShuffle
SCAN_HOST,2950.560805690358,2960.560805690358,10.0,-1,-1,None,None,0,106,2,[],None,None
ENUM_HOST,2960.560805690358,2975.560805690358,15.0,-1,-1,None,None,0,106,2,[],None,None
SCAN_PORT,2975.560805690358,2995.560805690358,20.0,56,3e7a62ad-79f1-498b-851f-132eb3291dc8,None,None,1,106,2,[],None,None
EXPLOIT_VULN,2995.560805690358,3005.493074258487,9.932268568129075,56,3e7a62ad-79f1-498b-851f-132eb3291dc8,None,None,1,106,2,[],network,HostTopologyShuffle
SCAN_HOST,3007.493074258487,3017.493074258487,10.0,-1,-1,None,None,0,106,2,[],None,None
ENUM_HOST,3017.493074258487,3032.493074258487,15.0,-1,-1,None,None,0,106,2,[],None,None
SCAN_PORT,3032.493074258487,3052.493074258487,20.0,44,0e584517-6498-4f91-b332-6b13a7b0fb08,None,None,1,106,2,[],None,None
EXPLOIT_VULN,3052.493074258487,3066.809692114096,14.31661785560891,44,0e584517-6498-4f91-b332-6b13a7b0fb08,None,None,1,106,2,[],network,HostTopologyShuffle
SCAN_HOST,3068.809692114096,3078.809692114096,10.0,-1,-1,None,None,0,106,2,[],None,None
ENUM_HOST,3078.809692114096,3093.809692114096,15.0,-1,-1,None,None,0,106,2,[],None,None
SCAN_PORT,3093.809692114096,3113.809692114096,20.0,33,15b778b5-a242-4303-92f4-e9e7ecdd1e93,None,None,1,106,2,[],None,None
EXPLOIT_VULN,3113.809692114096,3140.5578647797133,26.748172665617403,33,15b778b5-a242-4303-92f4-e9e7ecdd1e93,33,15b778b5-a242-4303-92f4-e9e7ecdd1e93,1,106,2,"['Devonna', 'Anny', 'Jonell', 'Issie', 'Wendeline']",None,None
SCAN_NEIGHBOR,3140.5578647797133,3150.5578647797133,10.0,33,15b778b5-a242-4303-92f4-e9e7ecdd1e93,None,None,1,112,3,[],None,None
ENUM_HOST,3150.5578647797133,3165.5578647797133,15.0,33,15b778b5-a242-4303-92f4-e9e7ecdd1e93,None,None,1,112,3,[],None,None
SCAN_PORT,3165.5578647797133,3185.5578647797133,20.0,34,cf7a695e-dae0-4ffd-a0e2-ca8f4ff422b3,None,None,1,112,3,[],None,None
EXPLOIT_VULN,3185.5578647797133,3210.9013138893856,25.343449109672292,34,cf7a695e-dae0-4ffd-a0e2-ca8f4ff422b3,34,cf7a695e-dae0-4ffd-a0e2-ca8f4ff422b3,1,112,3,"['Sella', 'Joice', 'Dorris', 'Erminie', 'Marisa']",None,None
SCAN_NEIGHBOR,3210.9013138893856,3220.9013138893856,10.0,34,cf7a695e-dae0-4ffd-a0e2-ca8f4ff422b3,None,None,1,126,4,[],None,None
ENUM_HOST,3220.9013138893856,3235.9013138893856,15.0,34,cf7a695e-dae0-4ffd-a0e2-ca8f4ff422b3,None,None,1,126,4,[],None,None
SCAN_PORT,3235.9013138893856,3244.2953769732094,8.394063083823767,36,91a3eab6-b5d1-42b8-a3aa-bb11963a8b4d,None,None,1,126,4,[],network,IPShuffle
SCAN_HOST,3246.2953769732094,3256.2953769732094,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3256.2953769732094,3271.2953769732094,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3271.2953769732094,3291.2953769732094,20.0,32,3e7a62ad-79f1-498b-851f-132eb3291dc8,None,None,2,126,4,[],None,None
EXPLOIT_VULN,3291.2953769732094,3305.2929981776465,13.99762120443711,32,3e7a62ad-79f1-498b-851f-132eb3291dc8,None,None,2,126,4,[],network,IPShuffle
SCAN_HOST,3307.2929981776465,3317.2929981776465,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3317.2929981776465,3332.2929981776465,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3332.2929981776465,3352.2929981776465,20.0,32,3e7a62ad-79f1-498b-851f-132eb3291dc8,None,None,3,126,4,[],None,None
EXPLOIT_VULN,3352.2929981776465,3375.455213534237,23.162215356590423,32,3e7a62ad-79f1-498b-851f-132eb3291dc8,None,None,3,126,4,[],network,CompleteTopologyShuffle
SCAN_HOST,3377.455213534237,3387.455213534237,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3387.455213534237,3402.455213534237,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3402.455213534237,3422.455213534237,20.0,38,595ae6ad-663b-44e4-b132-c09d0b65168b,None,None,1,126,4,[],None,None
EXPLOIT_VULN,3422.455213534237,3426.316935006647,3.861721472409954,38,595ae6ad-663b-44e4-b132-c09d0b65168b,None,None,1,126,4,[],network,IPShuffle
SCAN_HOST,3428.316935006647,3438.316935006647,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3438.316935006647,3453.316935006647,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3453.316935006647,3473.316935006647,20.0,31,b76cc1da-7eee-46d8-9374-2b7daf077ac2,None,None,1,126,4,[],None,None
EXPLOIT_VULN,3473.316935006647,3487.6833247098198,14.3663897031729,31,b76cc1da-7eee-46d8-9374-2b7daf077ac2,None,None,1,126,4,[],network,IPShuffle
SCAN_HOST,3489.6833247098198,3499.6833247098198,10.0,-1,-1,None,None,0,126,4,[],None,None
ENUM_HOST,3499.6833247098198,3514.6833247098198,15.0,-1,-1,None,None,0,126,4,[],None,None
SCAN_PORT,3514.6833247098198,3534.6833247098198,20.0,38,595ae6ad-663b-44e4-b132-c09d0b65168b,None,None,2,126,4,[],None,None
